ID,BookName,Publisher,Author,Price
0,Fahrenheit 451,İthaki Yayınları,Ray Bradbury,"78,00"
1,Kadınlar Ülkesi,İthaki Yayınları,Charlotte Perkins Gilman,"35,75"
2,Doktor Moreau’nun Adası,İthaki Yayınları,H. G. Wells,"35,75"
3,Warcross: Bir Sanal Gerçeklik Oyunu,Yabancı Yayınları,Marie Lu,"87,75"
4,Neuromancer,İthaki Yayınları,William Gibson,"84,50"
5,Aşkın Formülü,Epsilon Yayınevi,Helen Hoang,"96,53"
6,Görünmez Adam,İthaki Yayınları,H. G. Wells,"45,50"
7,İnsanlar,Domingo Yayınevi,Matt Haig,"80,24"
8,Bu Kusurlu Mu¨kemmel Du¨nya,Martı Yayınları,Jon Skovron,"75,00"
9,Otostopçunun Galaksi Rehberi,Alfa Yayınları,Douglas Adams,"68,25"
10,Frankenstein,İthaki Yayınları,Mary Sheley,"46,80"
11,Gu¨c¸ ve İntikam: Fırtınalar İmparatorluğu -1,Martı Yayınları,Jon Skovron,"85,00"
12,Gargantis,Genç Timaş,Thomas Taylor,"91,00"
13,Kelebeği Öldürmek,Epsilon Yayınevi,Beyza Aksoy,"109,53"
14,Kallokain,İthaki Yayınları,Karin Boye,"39,00"
15,Liste,Genç Timaş,Patricia Forde,"101,50"
16,Ateşli Yürek,Yabancı Yayınları,Amanda Bouchet,"91,00"
17,Tanrıların Altını,Artemis Yayınları,Erich von Daniken,"87,75"
18,Avengers Yok Oluş Anahtarı,Epsilon Yayınevi,Greg Keyes,"77,03"
19,Wildcard: Joker Oyuncunun Hikayesi,Yabancı Yayınları,Marie Lu,"87,75"
20,Nebo’nun Mavi Kitabı,Nemesis Kitap,Manon Steffan Ros,"28,60"
21,Beni Kışkırtma - Bana Dokunma 5,Dex Yayınevi,Tahereh Mafi,"122,85"
22,Evrenin Sonundaki Restoran,Alfa Yayınları,Douglas Adams,"74,75"
23,Çocukluğun Sonu,İthaki Yayınları,Arthur C. Clarke,"78,00"
24,Harry Potter Film Dehlizi 3: Hortkuluklar ve Ölüm Yadigarları,Teras Kitap,Jody Revenson,"99,50"
25,Mevki Uygarlığı,İthaki Yayınları,Robert Sheckley,"63,70"
26,Hava Adamı Ariel,İthaki Yayınları,Aleksandr Belyaev,"48,75"
27,Soruşturma - SL9,Alfa Yayınları,Stanislaw Lem,"71,50"
28,Ortanca,Genç Timaş,Kirsty Applebaum,"84,00"
29,Çürük Vişne 4 - Viata,Epsilon Yayınevi,Emine Tavuz,"129,03"
30,Zamanda Yolculuk,Theseus Yayınevi,H. G. Tannhaus,"95,40"
31,Yıldızlardan Dönüş,Alfa Yayınları,Stanislaw Lem,"81,25"
32,Vakıf,İthaki Yayınları,Isaac Asimov,"92,95"
33,Doktor Moreau'nun Adası,İş Bankası Kültür Yayınları,H. G. Wells,"27,20"
34,Elveda ve Bütün O Balıklar İçin Teşekkürler,Alfa Yayınları,Douglas Adams,"61,75"
35,"Hayat, Evren ve Herşey",Alfa Yayınları,Douglas Adams,"71,50"
36,Çoğunlukla Zararsız,Alfa Yayınları,Douglas Adams,"78,00"
37,Paniğe Kapılma!,Kabalcı Yayınevi - Özel Ürünler,Neil Gaiman,"28,70"
38,Çarpık Ağaç,Epsilon Yayınevi,Rachel Burge,"77,03"
